name	agent	decision	reason
A Court of Thorns and Roses Series - Sarah J. Maas	claude	DEMOTE	author
A Court of Thorns and Roses Series - Sarah J. Maas	codex	DEMOTE	author
A Court of Thorns and Roses Series - Sarah J. Maas	gemini	DEMOTE	Author disambiguator
A Court of Thorns and Roses Series - Sarah J. Maas	grok	DEMOTE	author name
A Song of Ice and Fire - George R. R. Martin	claude	DEMOTE	author
A Song of Ice and Fire - George R. R. Martin	codex	DEMOTE	author
A Song of Ice and Fire - George R. R. Martin	gemini	DEMOTE	Author disambiguator
A Song of Ice and Fire - George R. R. Martin	grok	DEMOTE	author name
A View from the Bridge - Miller	codex	DEMOTE	Miller is playwright Arthur Miller.
A View from the Bridge - Miller	gemini	DEMOTE	Arthur Miller is the author
All For The Game - Nora Sakavic	claude	DEMOTE	author
All For The Game - Nora Sakavic	codex	DEMOTE	author
All For The Game - Nora Sakavic	gemini	DEMOTE	Author disambiguator
All For The Game - Nora Sakavic	grok	DEMOTE	author name
Annabel Lee - Edgar Allan Poe	codex	DEMOTE	Edgar Allan Poe is the poem’s author.
Annabel Lee - Edgar Allan Poe	gemini	DEMOTE	Edgar Allan Poe is the author
Annabel Lee - Edgar Allan Poe	grok	DEMOTE	Edgar Allan Poe, poem's author
Anthem - Ayn Rand	claude	DEMOTE	author
Anthem - Ayn Rand	codex	DEMOTE	author
Anthem - Ayn Rand	gemini	DEMOTE	Author disambiguator
Anthem - Ayn Rand	grok	DEMOTE	author name
Aokana - Four Rhythms Across the Blue	codex	KEEP	Official game title includes Four Rhythms Across the Blue.
Aokana - Four Rhythms Across the Blue	gemini	KEEP	Official subtitle of the visual novel
Aokana - Four Rhythms Across the Blue	grok	KEEP	visual novel's official English title
Assistant to the Villain - Hannah Nicole Maehrer	codex	DEMOTE	Hannah Nicole Maehrer is the novel’s author.
Assistant to the Villain - Hannah Nicole Maehrer	gemini	DEMOTE	Hannah Nicole Maehrer is the author
Assistant to the Villain - Hannah Nicole Maehrer	grok	DEMOTE	Hannah Nicole Maehrer, novel's author
Avatar (Movies - Cameron)	claude	DEMOTE	director, inside parenthetical
Avatar (Movies - Cameron)	codex	DEMOTE	director
Avatar (Movies - Cameron)	gemini	DEMOTE	Director disambiguator
Avatar (Movies - Cameron)	grok	DEMOTE	film director name
Bleak House - Charles Dickens	codex	DEMOTE	Charles Dickens is the credited author.
Bleak House - Charles Dickens	gemini	DEMOTE	Charles Dickens is the author
Bleak House - Charles Dickens	grok	DEMOTE	Charles Dickens, novel's author
Bloodline of the Holy Grail - Laurence Gardner	codex	DEMOTE	Laurence Gardner is the credited author.
Bloodline of the Holy Grail - Laurence Gardner	gemini	DEMOTE	Laurence Gardner is the author
Bloodline of the Holy Grail - Laurence Gardner	grok	DEMOTE	Laurence Gardner, book's author
Bogatyr Series - Juraj Červenák	codex	DEMOTE	Juraj Červenák wrote the Bogatyr series.
Bogatyr Series - Juraj Červenák	gemini	DEMOTE	Juraj Červenák is the author
Bogatyr Series - Juraj Červenák	grok	DEMOTE	Juraj Červenák, series author
Bonnie & Clyde - Wildhorn/Black/Menchell	codex	DEMOTE	Wildhorn, Black, and Menchell are musical creators.
Bonnie & Clyde - Wildhorn/Black/Menchell	gemini	DEMOTE	Musical creators and composers
Bonnie & Clyde - Wildhorn/Black/Menchell	grok	DEMOTE	musical composer, lyricist, book-writer
Bridgerton Series - Julia Quinn	claude	DEMOTE	author
Bridgerton Series - Julia Quinn	codex	DEMOTE	author
Bridgerton Series - Julia Quinn	gemini	DEMOTE	Author disambiguator
Bridgerton Series - Julia Quinn	grok	DEMOTE	author name
COLD FEVER - Konohara Narise	codex	DEMOTE	Konohara Narise is the credited author.
COLD FEVER - Konohara Narise	gemini	DEMOTE	Konohara Narise is the author
COLD FEVER - Konohara Narise	grok	DEMOTE	Konohara Narise, novel's author
Cantata - Fir & Fireweed	codex	DEMOTE	Fir & Fireweed is Cantata’s author.
Cantata - Fir & Fireweed	gemini	DEMOTE	Fir & Fireweed is the author
Cantata - Fir & Fireweed	grok	DEMOTE	Fir & Fireweed, IF authors
Cemetery Boys - Aiden Thomas	codex	DEMOTE	Aiden Thomas is the credited author.
Cemetery Boys - Aiden Thomas	gemini	DEMOTE	Aiden Thomas is the author
Cemetery Boys - Aiden Thomas	grok	DEMOTE	Aiden Thomas, novel's author
Charlie and the Chocolate Factory - Shaiman/Shaiman & Wittman/Greig	codex	DEMOTE	Shaiman, Wittman, and Greig are musical creators.
Charlie and the Chocolate Factory - Shaiman/Shaiman & Wittman/Greig	gemini	DEMOTE	Musical composers and lyricists
Charlie and the Chocolate Factory - Shaiman/Shaiman & Wittman/Greig	grok	DEMOTE	musical composer, lyricists, book-writer
Children of the Corn - Stephen King	claude	DEMOTE	author
Children of the Corn - Stephen King	codex	DEMOTE	author
Children of the Corn - Stephen King	gemini	DEMOTE	Author disambiguator
Children of the Corn - Stephen King	grok	DEMOTE	author name
Chóng Zú Zhī Péng Yǒu Yě Hěn Měi Wèi - Xuán Zhū	codex	DEMOTE	Xuán Zhū is the credited webnovel author.
Chóng Zú Zhī Péng Yǒu Yě Hěn Měi Wèi - Xuán Zhū	gemini	DEMOTE	Xuán Zhū is the author
Chóng Zú Zhī Péng Yǒu Yě Hěn Měi Wèi - Xuán Zhū	grok	DEMOTE	Xuán Zhū, novel's author
Clown in a Cornfield Series - Adam Cesare	claude	DEMOTE	author
Clown in a Cornfield Series - Adam Cesare	codex	DEMOTE	author
Clown in a Cornfield Series - Adam Cesare	gemini	DEMOTE	Author disambiguator
Clown in a Cornfield Series - Adam Cesare	grok	DEMOTE	author name
Diamonds and Toads - Charles Perrault	claude	DEMOTE	author
Diamonds and Toads - Charles Perrault	codex	DEMOTE	author
Diamonds and Toads - Charles Perrault	gemini	DEMOTE	Author disambiguator
Diamonds and Toads - Charles Perrault	grok	DEMOTE	fairy tale author
Dragon's Winter Series - Elizabeth A. Lynn	codex	DEMOTE	Elizabeth A. Lynn is the series author.
Dragon's Winter Series - Elizabeth A. Lynn	gemini	DEMOTE	Elizabeth A. Lynn is the author
Dragon's Winter Series - Elizabeth A. Lynn	grok	DEMOTE	Elizabeth A. Lynn, series author
EPIC - Jorge Rivera-Herrans (Albums)	claude	DEMOTE	composer
EPIC - Jorge Rivera-Herrans (Albums)	codex	DEMOTE	creator and medium
EPIC - Jorge Rivera-Herrans (Albums)	gemini	DEMOTE	Creator and format disambiguator
EPIC - Jorge Rivera-Herrans (Albums)	grok	DEMOTE	creator name
Eden - Stanisław Lem	claude	DEMOTE	author
Eden - Stanisław Lem	codex	DEMOTE	author
Eden - Stanisław Lem	gemini	DEMOTE	Author disambiguator
Eden - Stanisław Lem	grok	DEMOTE	author name
Elfhome Series - Wen Spencer	claude	DEMOTE	author
Elfhome Series - Wen Spencer	codex	DEMOTE	author
Elfhome Series - Wen Spencer	gemini	DEMOTE	Author disambiguator
Elfhome Series - Wen Spencer	grok	DEMOTE	author name
Ella Enchanted - Gail Carson Levine	codex	DEMOTE	Gail Carson Levine is the novel’s author.
Ella Enchanted - Gail Carson Levine	gemini	DEMOTE	Gail Carson Levine is the author
Ella Enchanted - Gail Carson Levine	grok	DEMOTE	Gail Carson Levine, novel's author
Elm Stone Saga - Shayla Morgansen	claude	DEMOTE	author
Elm Stone Saga - Shayla Morgansen	codex	DEMOTE	author
Elm Stone Saga - Shayla Morgansen	gemini	DEMOTE	Author disambiguator
Elm Stone Saga - Shayla Morgansen	grok	DEMOTE	author name
Escam Series - scribbleshrimp	codex	DEMOTE	scribbleshrimp created Escam.
Escam Series - scribbleshrimp	gemini	DEMOTE	scribbleshrimp is the creator
Escam Series - scribbleshrimp	grok	DEMOTE	scribbleshrimp, original-series author
Fairy Tale Reform School - Jen Calonita	claude	DEMOTE	author
Fairy Tale Reform School - Jen Calonita	codex	DEMOTE	author
Fairy Tale Reform School - Jen Calonita	gemini	DEMOTE	Author disambiguator
Fairy Tale Reform School - Jen Calonita	grok	DEMOTE	author name
GAIMAN Neil - Works	claude	DEMOTE	"Works" is a qualifier
GAIMAN Neil - Works	codex	DEMOTE	works category
GAIMAN Neil - Works	gemini	DEMOTE	Creator works disambiguator
GAIMAN Neil - Works	grok	DEMOTE	author works qualifier
Game Changers Series - Rachel Reid	claude	DEMOTE	author
Game Changers Series - Rachel Reid	codex	DEMOTE	author
Game Changers Series - Rachel Reid	gemini	DEMOTE	Author disambiguator
Game Changers Series - Rachel Reid	grok	DEMOTE	author name
Girl in Pieces - Kathleen Glasgow	codex	DEMOTE	Kathleen Glasgow is the novel’s author.
Girl in Pieces - Kathleen Glasgow	gemini	DEMOTE	Kathleen Glasgow is the author
Girl in Pieces - Kathleen Glasgow	grok	DEMOTE	Kathleen Glasgow, novel's author
Good Omens - Neil Gaiman & Terry Pratchett	claude	DEMOTE	two authors
Good Omens - Neil Gaiman & Terry Pratchett	codex	DEMOTE	authors
Good Omens - Neil Gaiman & Terry Pratchett	gemini	DEMOTE	Authors disambiguator
Good Omens - Neil Gaiman & Terry Pratchett	grok	DEMOTE	author names
Hamilton - Miranda	claude	DEMOTE	composer
Hamilton - Miranda	codex	DEMOTE	creator
Hamilton - Miranda	gemini	DEMOTE	Creator disambiguator
Hamilton - Miranda	grok	DEMOTE	creator name
Harry Potter - J. K. Rowling	claude	DEMOTE	author
Harry Potter - J. K. Rowling	codex	DEMOTE	author
Harry Potter - J. K. Rowling	gemini	DEMOTE	Author disambiguator
Harry Potter - J. K. Rowling	grok	DEMOTE	author name
Heaven Official's Blessing - Moxiang Tongxiu	claude	DEMOTE	author
Heaven Official's Blessing - Moxiang Tongxiu	codex	DEMOTE	author
Heaven Official's Blessing - Moxiang Tongxiu	gemini	DEMOTE	Author disambiguator
Heaven Official's Blessing - Moxiang Tongxiu	grok	DEMOTE	author name
History of the Peloponnesian Wars - Thucydides	claude	DEMOTE	author
History of the Peloponnesian Wars - Thucydides	codex	DEMOTE	author
History of the Peloponnesian Wars - Thucydides	gemini	DEMOTE	Author disambiguator
History of the Peloponnesian Wars - Thucydides	grok	DEMOTE	ancient historian author
How Dare You Attack My Support! - Liáng Cí	codex	DEMOTE	Liáng Cí is the credited webnovel author.
